OverallQual,BedroomAbvGr,YearRemodAdd,YrSold,Target
6,3,1978,2010,12.188582490937467
4,0,1969,2008,11.89307237242798
4,3,1970,2009,11.723133596397135
5,3,1995,2008,12.105609340811093
5,4,1950,2007,11.931635799828413
6,3,1992,2007,12.521762077085086
5,4,1977,2006,11.440065148917794
6,2,2003,2010,11.171279004530504
7,2,2005,2008,12.318464995206885
8,3,2008,2009,12.411068708832474
9,4,2007,2008,12.79272512478401
6,3,1965,2006,12.18453469298568
6,3,1997,2007,12.265869084353703
6,3,1976,2009,12.363559601080839
5,1,1970,2006,11.746800373591347
6,3,1985,2010,11.873537166957648
6,2,1960,2008,11.72581597570601
6,2,1998,2009,11.744254984042245
7,4,2004,2010,12.190548869180372
6,5,1950,2008,12.4529327234617
4,2,1950,2009,11.635143097694478
5,3,1982,2009,12.058932955461081
8,2,2006,2009,12.456831363877356
7,2,2004,2008,12.344742193301354
5,2,1950,2007,11.952142662597508
5,2,1950,2009,12.180294548581543
7,2,2006,2009,11.73822800967171
7,3,2005,2008,12.29824071548367
6,3,1994,2007,12.022428816606913
6,2,1998,2007,11.677999843427942
6,4,1998,2008,11.633910194815954
7,3,2005,2006,12.189324689160998
7,4,1966,2006,12.168114584737333
7,1,2007,2007,12.205572520488492
1,1,1950,2007,8.381620814232674
6,3,1957,2007,11.64795133861814
6,4,1975,2006,11.990701687795763
6,4,1971,2010,12.06757776030147
5,2,1981,2009,11.608235644774552
5,3,1962,2009,12.066611065365965
3,2,1950,2006,11.44571671527678
6,2,2009,2009,11.83850730386707
5,3,1976,2007,12.004416892809306
7,3,2001,2007,11.890271403789678
4,2,1950,2009,10.460242108190519
6,1,2003,2007,12.01891296395691
7,3,1992,2007,12.177408640119898
6,3,2004,2007,11.661661143282231
5,4,1974,2009,11.820410164718188
6,4,1968,2009,11.683962727239066
4,3,2004,2010,11.036686722591615
6,3,1976,2008,12.279605008822793
6,4,1964,2008,12.031123843065632
8,3,2007,2008,11.883892272519633
6,3,1993,2008,11.93541692027326
8,3,1994,2006,12.426843809260072
8,4,2007,2007,12.623061104072981
5,2,1995,2008,11.98165925464809
6,2,2006,2007,12.347619775978929
4,2,1955,2009,11.910741359543756
7,3,1996,2008,12.178187442040638
6,2,1998,2006,12.202082011711727
5,3,1954,2008,12.208605804527572
9,4,1999,2010,12.817583156447952
4,3,1956,2009,11.23709915529246
6,3,1990,2007,11.938746720919161
6,4,1968,2009,12.33832966197291
7,3,2006,2006,12.457305220314241
6,3,2000,2010,11.871134803927692
7,1,2007,2009,11.851850191710392
8,2,2002,2009,12.125547862677795
5,2,1993,2009,12.154779351142624
6,2,1954,2006,12.06880095681065
5,2,1996,2006,11.499749347731091
2,1,1950,2009,10.089289392998406
7,3,1994,2008,12.63096701827387
5,2,1954,2008,11.903283946083166
5,3,1970,2006,12.189369631803565
4,2,1962,2007,11.075806781740425
5,3,1997,2009,11.669929213779893
8,3,2005,2007,12.509071832067205
6,3,1996,2008,12.089619556718024
6,3,1963,2010,11.513467798084868
9,2,2005,2007,12.654988433853726
6,3,1972,2010,12.13891948348818
6,3,1950,2008,11.366130803224047
6,3,1997,2007,12.044389297149785
5,2,2008,2010,11.932094689786995
7,3,1976,2009,12.13440286087876
5,4,1965,2010,11.809057471870252
8,3,2006,2007,12.280857715158417
5,3,1975,2008,11.220784638963567
4,3,1979,2006,12.117134115688739
6,3,2003,2008,12.403967765527064
7,3,2003,2006,12.100712129872347
7,3,2001,2009,11.93522550388023
5,3,1955,2008,11.499366888230435
5,3,1985,2009,11.242179781294768
7,0,1979,2010,12.591661837675629
7,3,1998,2007,12.224367766909705
7,3,2005,2006,12.01364014498549
7,2,2004,2008,12.059179012839357
7,2,2005,2006,12.421208678738159
8,3,2001,2009,12.474189562487116
6,3,1988,2009,12.0668693871629
5,3,1977,2008,12.124065435271833
7,2,1950,2008,12.01024342328569
6,4,1950,2008,11.824079893607152
7,4,1976,2008,12.396337699685922
7,3,1993,2009,12.222637898715403
6,3,1962,2010,12.18889183007554
5,3,1950,2009,11.500835649220425
5,2,1992,2010,11.350933563557234
5,3,2006,2006,10.809298127373939
5,2,2006,2007,11.711910928557991
5,3,1950,2006,11.339459584482167
5,4,1977,2009,11.983135472024042
7,4,2006,2006,12.55793810478644
6,3,1961,2008,11.757116734996682
6,5,1950,2009,11.141017822929614
7,2,2006,2006,12.311110842344364
7,3,1999,2008,11.937883357140754
5,3,2002,2007,12.12642154938415
5,2,1950,2006,11.193191515193138
5,3,1965,2009,11.479195703627475
6,3,1972,2006,11.325148679516426
8,3,2007,2007,12.573237600966008
7,5,2007,2010,12.528134342354734
5,4,1959,2010,11.787200900706166
7,3,2005,2009,12.317260665540264
8,3,2006,2006,12.198232603814063
6,2,1992,2007,12.096257779522967
7,3,1980,2009,11.935772908171177
6,4,1970,2008,12.377922902456833
5,4,2003,2008,12.106772009395872
6,3,1992,2009,11.835143108300976
10,2,2008,2009,13.226723392728571
4,3,1956,2009,11.510131349805858
7,4,1988,2006,12.341477282536376
5,3,1955,2007,12.01992979401559
5,4,1958,2006,11.820751767562665
6,3,1980,2008,12.131110421822443
7,3,1968,2010,12.536203484958284
6,3,1995,2006,11.925035115797062
4,3,1970,2006,11.929017176556961
7,3,2006,2007,12.40852236636721
5,2,1965,2009,11.177155462428228
6,5,1950,2007,12.045870354534395
8,3,2005,2006,12.526342907575106
4,1,1972,2010,11.602533152360333
7,3,2007,2007,12.379987636807618
9,2,2005,2008,12.613179927281577
6,2,1984,2010,11.991957859517141
6,4,1950,2009,12.03295723390054
5,2,1968,2006,11.881998542065519
8,4,1981,2009,12.396367824862574
5,3,2007,2007,11.623751300883278
6,2,1958,2006,11.84939770159144
7,1,1998,2007,12.034867892527394
7,4,2005,2006,12.34233423154774
10,3,2007,2009,12.827328533103081
6,4,1972,2006,11.76605165066806
4,4,1977,2007,12.121166481576443
3,3,2006,2007,11.64333512574824
6,5,1997,2008,12.22935368356702
6,3,1960,2010,12.105234169383413
6,2,1996,2010,11.651531275924558
6,2,1950,2007,11.37831343079747
6,3,2003,2006,12.206072645530174
9,4,2006,2006,12.846700175420347
6,2,1993,2008,11.94405831982697
4,4,2007,2007,11.505686792647419
7,3,2001,2009,12.271113265929001
8,2,1996,2010,12.509727374410698
8,3,2005,2007,12.507734495878458
6,3,1963,2010,12.09489916906528
4,4,1968,2010,12.052873450760531
5,3,1963,2010,12.036767339061969
7,4,1976,2006,12.19747871630114
7,3,2003,2007,12.30293945564019
5,3,1991,2006,12.125385904051585
5,3,1958,2006,11.463093713028638
5,3,2003,2008,12.015910195130019
6,3,2005,2008,12.256759259615672
5,2,1972,2009,11.719939634354555
7,3,2009,2009,12.286379925446804
5,4,1950,2007,11.60624138184744
8,4,1990,2007,12.73105527107287
3,2,1950,2009,10.542706391070517
5,4,1954,2008,12.013830524790587
7,3,2005,2008,12.14950229404178
8,2,2005,2008,12.524526376648708
9,3,2008,2009,12.611622930247346
5,3,1950,2006,11.648373658049515
7,2,2001,2007,11.790557201568507
5,3,1959,2009,11.503034147937182
5,3,2006,2009,11.652687407345388
8,2,2008,2008,12.885670953244288
5,2,1950,2009,11.061505383107784
8,2,2008,2008,12.78997284935354
7,3,2006,2006,11.935016635795296
6,3,1976,2010,11.174542877694224
6,2,1982,2006,11.709235850475451
5,3,1950,2007,11.405570771326504
8,4,1997,2008,12.850554654108839
4,2,1950,2006,11.053561690926179
5,3,2010,2010,12.00266441858012
7,3,1996,2009,11.807894624017822
6,3,1991,2007,12.175780770748439
7,2,1998,2008,12.402300180815493
6,3,1959,2010,11.904967552746252
6,3,1953,2008,12.140483510595464
4,4,1950,2006,11.37366339763672
9,2,2008,2008,12.484204257170104
7,3,1996,2007,11.857042926732165
7,3,1997,2007,12.769454472084576
8,3,2002,2010,12.637875492945746
7,3,2004,2007,12.293417604676742
8,3,2006,2007,12.792101077482194
5,2,1957,2006,11.77452020265869
6,3,2006,2007,11.751942365440728
5,4,1950,2008,12.049708575467045
7,3,2001,2007,12.328290278254423
6,4,1963,2008,11.550517009532932
3,4,1955,2009,12.070032345545169
8,3,2007,2007,12.15368566019032
8,4,2006,2006,12.699065373247844
8,1,2006,2006,12.8701602180161
10,2,2006,2006,12.972421791628204
7,3,2005,2009,12.294550694958039
6,5,1950,2007,11.316650727145873
9,1,2008,2008,12.904615690445606
7,1,2003,2009,12.231480313485365
7,3,1974,2010,12.043553716032399
6,3,2004,2009,11.652687407345388
5,3,2000,2006,11.693374838500942
9,3,2008,2008,12.93093296248913
5,2,1952,2006,11.394249428149248
8,3,2002,2008,12.180408479085138
5,3,1995,2010,11.639713269496928
5,2,1957,2006,12.075896321414367
6,3,2000,2009,11.884105860427322
5,2,1963,2007,11.794337924408413
10,3,2003,2009,12.770596176102071
5,2,1950,2007,10.882080343018636
5,3,1996,2009,11.931635799828413
5,3,1974,2006,11.599747217247891
7,3,1989,2007,12.482239360057681
7,3,2007,2008,12.263473711039142
6,2,1992,2010,11.607537692320934
4,2,2000,2008,11.588960151246226
6,2,1950,2007,11.831041206624134
4,1,1970,2009,11.639871944361694
4,3,1970,2009,11.347540501800898
7,3,2005,2009,12.226388899622878
8,3,2001,2009,12.216314626162635
6,4,1958,2007,12.167645016299657
6,3,1958,2007,11.602457374671529
4,2,1958,2009,11.512925464970229
6,2,1971,2008,10.850952451396243
6,3,1950,2006,11.56141034504657
7,3,1991,2008,12.426184425311765
7,2,1950,2008,11.66907414746016
5,2,1954,2006,11.522560453638288
7,3,1990,2009,12.390115365702377
6,5,2007,2007,12.141534124392603
5,3,1977,2006,11.982929094215963
4,3,1961,2007,11.353680232824882
5,3,1970,2009,11.623608889720124
5,4,1976,2009,12.359656762357968
5,4,2005,2006,11.884489021402711
8,4,2002,2010,12.376143550261636
4,2,1990,2007,11.88400446360627
7,3,1970,2006,12.081206627616464
5,4,1962,2007,12.040608205802641
8,3,2006,2007,12.627049269766827
8,3,2002,2009,12.297969820860397
7,2,1987,2006,12.384218830913648
6,1,2004,2010,11.870599909242044
6,3,1987,2007,11.889690957200493
5,3,1950,2008,11.84939770159144
7,3,2004,2006,11.527515673793008
9,3,2006,2007,12.676076274775909
6,5,1994,2009,12.27606501735021
6,3,1976,2007,11.689876603851438
8,3,1992,2006,12.301382825334498
6,3,1977,2009,11.979799201207037
5,3,1976,2008,11.91833742072372
6,4,1985,2008,12.17714228718699
5,1,1978,2009,12.201887176870171
5,3,1950,2007,12.072541252905651
5,2,2003,2008,11.835008964139341
7,3,2005,2010,12.573173488172044
6,3,1964,2008,12.223695078872332
6,3,1971,2006,11.424094251263613
7,4,1977,2008,12.331006437493215
7,3,1970,2008,11.831015970821234
7,2,2004,2006,11.877297497371266
7,3,2001,2008,12.494793501115435
8,3,2002,2008,12.687183073924418
7,3,1991,2007,12.100156419938624
5,3,1958,2009,11.002099841204238
8,3,2003,2010,12.354492650648448
6,3,1970,2007,12.202055704984494
5,2,1983,2007,11.877568578558138
6,3,1978,2010,11.608401399336584
7,3,2004,2007,12.324505893721536
6,3,2005,2009,12.154906325960047
5,4,1950,2007,11.827736204810263
7,2,2006,2006,12.377185958320425
5,3,1958,2006,12.015654712721883
4,1,1956,2007,11.830501121105723
5,3,1967,2009,12.128111104060462
5,3,1966,2008,11.895836765190609
7,3,2009,2010,12.279323107269766
8,3,2008,2008,12.73596533201339
3,3,2005,2006,12.003144548515813
4,3,1950,2007,11.512925464970229
4,2,1950,2010,11.84562241536005
5,4,1967,2009,11.378690840030364
6,3,1998,2008,12.062914740859306
5,3,1972,2009,11.357479890867825
9,2,2010,2010,13.379312826521977
9,2,2004,2006,12.919131416957885
6,3,1950,2007,12.082531122533844
7,2,1986,2006,11.941616378941207
5,3,1953,2009,11.37413143951234
5,3,1982,2008,11.884489021402711
6,3,2006,2006,12.018427882813
7,3,1992,2009,12.051572255313637
5,3,1978,2007,11.848683160653573
8,4,1990,2006,12.205303724456392
7,3,2001,2009,12.482105336659368
6,4,1950,2007,12.52130546647959
6,2,2000,2007,12.034691028774553
8,3,2007,2009,12.582489655190079
7,3,2008,2008,11.902810170902242
5,3,1959,2008,11.664579088144697
5,3,1991,2008,11.862512496143339
6,3,1999,2009,11.888487781148198
6,3,1950,2007,12.254862809699606
5,3,1967,2006,11.9705528494025
5,3,1950,2008,11.461632170582678
5,3,1959,2006,11.917723684090689
8,3,2008,2010,12.600502014122862
9,3,2010,2010,12.969290598824617
5,3,1950,2009,11.585999919842338
4,3,1972,2008,11.831379196088763
5,3,2002,2007,12.007343704652955
6,4,1976,2007,12.352349831889958
9,4,2009,2009,13.161508020060753
5,3,1996,2008,11.923862592716793
8,4,2007,2007,13.03805185034855
7,4,1992,2006,11.826289760948693
5,2,2001,2008,11.993504184380829
6,4,1969,2010,11.730726976925604
5,3,1950,2009,11.104957226643945
5,3,1967,2009,11.512925464970229
8,3,2008,2008,12.367885325692589
5,3,1985,2008,11.35338989950567
5,3,1950,2006,12.123373284532448
8,3,2009,2009,12.484314235227622
5,3,1959,2006,11.57264014824945
6,3,2004,2008,11.594498449259476
6,3,1999,2006,12.106252310247962
6,3,2005,2009,11.836846017997322
5,2,1950,2010,11.326595886778735
7,3,1999,2008,12.45953527410109
4,4,1950,2010,11.374170306239353
7,3,1989,2007,12.394562440873395
7,5,1978,2006,12.567785456824453
6,2,1953,2009,11.65146311116394
5,3,1962,2010,12.170865180617609
7,3,2003,2007,11.872238745753489
7,3,2009,2009,12.472951462944229
6,3,1968,2006,12.278193348165376
5,2,1964,2006,11.286288391379301
7,2,1989,2009,12.641210065746195
4,2,1951,2010,11.576840825206734
5,2,2002,2007,11.790557201568507
7,3,1991,2007,12.31800926089945
9,3,2005,2006,12.551756051250162
7,3,2007,2007,11.849458125839247
5,2,1996,2010,10.968817284665182
6,3,1998,2008,11.97511726881414
5,5,1960,2010,12.15449238460925
5,2,2000,2007,11.500902296489466
5,3,1968,2007,11.589886506106357
5,4,1979,2009,11.342216791073392
6,2,1994,2008,11.976826230188362
8,2,2006,2006,12.721044064832295
8,2,2003,2006,12.2783933071098
5,3,1950,2010,11.438629864285014
6,3,1950,2009,11.862381501627537
6,2,2007,2008,11.940456062264426
5,3,1950,2007,12.088259315454774
5,3,1992,2007,11.560736620271458
5,2,1950,2008,11.287597306478087
4,2,2006,2010,11.681178589169766
4,1,1950,2008,10.42797030422282
7,4,1991,2007,12.473338970992694
6,3,1979,2007,12.008270461122738
5,3,2002,2008,12.166739184031064
7,3,2002,2008,12.126186887137594
6,3,1950,2010,11.910710713873597
6,3,1964,2009,11.970350312009105
7,3,2005,2008,12.482223804191209
6,3,2000,2007,11.837164502017476
8,3,2006,2009,12.285668907497696
7,3,2004,2007,11.87713180771078
5,1,2003,2009,11.597724636891021
5,4,1950,2010,11.842229212112828
5,3,1995,2009,12.101871810488355
6,3,1994,2006,12.017330520933296
7,4,2005,2009,11.708545259611208
5,3,1959,2009,11.41123542837055
5,3,1992,2008,12.185015276664723
7,2,2005,2009,12.302785627368383
6,2,1997,2008,12.061046873479915
5,2,1950,2007,11.716052703741562
6,3,1957,2009,12.157065611114945
8,3,2005,2009,12.392730496570236
8,4,1999,2009,12.612336052725666
5,2,1951,2008,11.842229212112828
5,3,1954,2010,11.426512615780469
5,3,1950,2007,11.338166239909869
5,3,1999,2008,12.100156419938624
7,3,1997,2008,11.852482639614784
8,3,2006,2007,12.472508090738135
8,3,2005,2006,12.524526376648708
7,3,1973,2007,12.253467203759936
5,2,1950,2006,11.907246054057593
5,3,1976,2006,12.027878035828826
6,4,1976,2006,11.924372644755941
6,3,1990,2009,12.058932966218926
6,3,2003,2007,11.87465935722136
7,3,2004,2008,11.930029799227896
4,3,1970,2006,12.007031818759817
6,4,1986,2008,12.19912721769695
6,3,2005,2009,11.830713470164808
6,2,2003,2006,11.931612098632472
7,3,2000,2008,12.160028707028767
8,3,2009,2009,12.330368978503007
4,2,1950,2006,9.680923449756063
6,3,1985,2010,11.66819332319966
5,3,1963,2008,12.159182751269553
9,3,2008,2009,12.564963780878948
7,3,1996,2009,12.26434155365415
6,1,2003,2008,12.061211417319942
9,4,2005,2009,12.865648972822996
4,3,2008,2009,11.054467181595362
7,2,2003,2009,12.302927152474762
7,3,1994,2006,12.367340793126296
4,4,1959,2008,12.043141856472513
8,2,1989,2008,12.320342929658134
5,3,1995,2006,11.698147883100313
